model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000164.jpg,0.09514455497264862,0.5971450209617615,0.5998986959457397
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000192.jpg,0.13177479803562164,0.5800706148147583,0.3816506266593933
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000196.jpg,0.06461622565984726,0.6138637661933899,0.7037002444267273
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000208.jpg,0.1624855250120163,0.12735435366630554,0.29492682218551636
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000257.jpg,0.09469283372163773,0.6135825514793396,0.5666193962097168
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000387.jpg,0.14776843786239624,0.3736426830291748,0.34182316064834595
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000397.jpg,0.036928676068782806,0.7956610918045044,0.763433575630188
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000520.jpg,0.08197959512472153,0.6879816651344299,0.6621193885803223
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000569.jpg,0.1251623034477234,0.4473307728767395,0.48475879430770874
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000675.jpg,0.1376301348209381,0.5706580877304077,0.38347136974334717
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000692.jpg,0.12082575261592865,0.5895357131958008,0.42014092206954956
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000711.jpg,0.07322532683610916,0.6391721963882446,0.6705320477485657
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000715.jpg,0.04418913275003433,0.6922780275344849,0.7490283250808716
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000810.jpg,0.11949113011360168,0.6468632221221924,0.4869101643562317
center,not_applicable,7ad21b6a799f,COCO_val2014_000000000939.jpg,0.10899319499731064,0.3238895535469055,0.6033154726028442
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001000.jpg,0.11629744619131088,0.5249515771865845,0.4672126770019531
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001270.jpg,0.10745960474014282,0.5087313652038574,0.5393900871276855
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001342.jpg,0.11395090073347092,0.5320616960525513,0.5834664106369019
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001532.jpg,0.1205945685505867,0.6020181775093079,0.4277392327785492
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001561.jpg,0.16274555027484894,0.33537039160728455,0.27743104100227356
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001573.jpg,0.14559896290302277,0.35448068380355835,0.39712655544281006
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001599.jpg,0.13137809932231903,0.4941420555114746,0.46882516145706177
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001668.jpg,0.14063028991222382,0.22679924964904785,0.4527553915977478
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001675.jpg,0.17288723587989807,0.08024649322032928,0.22214865684509277
center,not_applicable,7ad21b6a799f,COCO_val2014_000000001700.jpg,0.14809030294418335,0.4203246831893921,0.39080798625946045
